"fc_date","ensemble_member","GreenAlgae_ugL","Bluegreens_ugL","BrownAlgae_ugL","MixedAlgae_ugL","issue_date"
2021-10-19,1,4.11894294068804,-3.2168941504576,-6.9532593356375,-6.49270406546969,2021-10-19
2021-10-20,1,4.40187166145795,-1.9703708060803,-7.82371960721854,-8.38874114414709,2021-10-19
2021-10-21,1,4.52758604890176,-0.166926449498742,-7.63742601304181,-7.00058172944606,2021-10-19
2021-10-22,1,3.54482580194363,1.40034255623602,-2.90081840231217,0.099555653825055,2021-10-19
2021-10-23,1,4.92416659768173,-0.179731461153198,-7.89389411501296,-5.44839629778031,2021-10-19
2021-10-24,1,4.52546004871293,1.22824840532672,-6.83977306248377,-7.17512518055201,2021-10-19
2021-10-25,1,3.72009334104521,2.04309940955593,-2.38415085937309,-3.14726809443308,2021-10-19
2021-10-26,1,3.50732097887493,0.185679597706916,-4.89681201319464,-5.72602600158401,2021-10-19
2021-10-27,1,2.92496288011691,1.25965160295152,-0.467948434771407,-2.72808488582134,2021-10-19
2021-10-28,1,3.6549094650255,-2.91436267982103,-6.69733234930978,-10.5233840960902,2021-10-19
2021-10-29,1,3.41998216478967,-3.31871677107016,-6.2542971408876,-8.82124185002806,2021-10-19
2021-10-19,2,4.09513800124107,-2.04153171338763,-7.58713579902081,-5.93071493964318,2021-10-19
2021-10-20,2,5.0180466535203,-0.684363803446693,-7.08663550585975,-2.52936087567032,2021-10-19
2021-10-21,2,5.87079812662947,-0.355871017564064,-7.15791843801702,-5.01576716033397,2021-10-19
2021-10-22,2,5.95422160797274,1.23659474273247,-6.02174869623374,-1.86724287742131,2021-10-19
2021-10-23,2,6.38501934040949,0.818033816604523,-8.71431812337722,-5.91865915454726,2021-10-19
2021-10-24,2,5.61684068340661,2.73051522321689,-6.37679661216305,-3.50314210883229,2021-10-19
2021-10-25,2,5.0999403848682,3.59150801147284,-4.3070887286967,-3.25158063564393,2021-10-19
2021-10-26,2,5.20679585209898,1.65338048545051,-7.93962339362547,-6.26313695295556,2021-10-19
2021-10-27,2,4.95968339237017,1.43286766712443,-7.92473442241529,-6.8206870686579,2021-10-19
2021-10-28,2,5.31355142114284,1.73701223461264,-8.06342028247018,-6.40177197948631,2021-10-19
