"Date","CTDTemp_C","daily_EXOTemp_C_1","daily_ThermistorTemp_C_1","YSITemp_C","Temp_C"
2014-08-29,NA,NA,NA,NA,NA
2014-08-30,NA,NA,NA,NA,NA
2014-08-31,NA,NA,NA,NA,NA
2014-09-01,NA,NA,NA,NA,NA
2014-09-02,NA,NA,NA,NA,NA
2014-09-03,25.8134,NA,NA,NA,25.8134
2014-09-04,NA,NA,NA,NA,NA
2014-09-05,NA,NA,NA,NA,NA
2014-09-06,NA,NA,NA,NA,NA
2014-09-07,NA,NA,NA,NA,NA
2014-09-08,24.0478,NA,NA,NA,24.0478
2014-09-09,NA,NA,NA,NA,NA
2014-09-10,NA,NA,NA,NA,NA
2014-09-11,NA,NA,NA,NA,NA
2014-09-12,NA,NA,NA,NA,NA
2014-09-13,NA,NA,NA,NA,NA
2014-09-14,NA,NA,NA,NA,NA
2014-09-15,21.4982,NA,NA,NA,21.4982
2014-09-16,NA,NA,NA,NA,NA
2014-09-17,NA,NA,NA,NA,NA
2014-09-18,NA,NA,NA,NA,NA
2014-09-19,NA,NA,NA,NA,NA
2014-09-20,NA,NA,NA,NA,NA
2014-09-21,NA,NA,NA,NA,NA
2014-09-22,21.1675,NA,NA,NA,21.1675
2014-09-23,NA,NA,NA,NA,NA
2014-09-24,NA,NA,NA,NA,NA
2014-09-25,NA,NA,NA,NA,NA
2014-09-26,NA,NA,NA,NA,NA
2014-09-27,NA,NA,NA,NA,NA
2014-09-28,NA,NA,NA,NA,NA
2014-09-29,19.8779,NA,NA,NA,19.8779
2014-09-30,NA,NA,NA,NA,NA
2014-10-01,NA,NA,NA,NA,NA
2014-10-02,NA,NA,NA,NA,NA
2014-10-03,NA,NA,NA,NA,NA
2014-10-04,20.2138,NA,NA,NA,20.2138
2014-10-05,NA,NA,NA,NA,NA
2014-10-06,NA,NA,NA,NA,NA
2014-10-07,NA,NA,NA,NA,NA
2014-10-08,NA,NA,NA,NA,NA
2014-10-09,NA,NA,NA,NA,NA
2014-10-10,NA,NA,NA,NA,NA
2014-10-11,NA,NA,NA,NA,NA
2014-10-12,NA,NA,NA,NA,NA
2014-10-13,NA,NA,NA,NA,NA
2014-10-14,NA,NA,NA,NA,NA
2014-10-15,17.6115,NA,NA,NA,17.6115
2014-10-16,NA,NA,NA,NA,NA
2014-10-17,NA,NA,NA,NA,NA
2014-10-18,NA,NA,NA,NA,NA
2014-10-19,NA,NA,NA,NA,NA
