"fc_date","ensemble_member","GreenAlgae_ugL","Bluegreens_ugL","BrownAlgae_ugL","MixedAlgae_ugL","issue_date"
2021-10-10,1,4.19157436211733,-2.09321576750402,-6.2655625981532,-4.01612566209913,2021-10-10
2021-10-11,1,4.26710153969144,-2.27742559758344,-5.58699760789277,-6.798072025798,2021-10-10
2021-10-12,1,4.31862522035462,-3.71042611003132,-7.36668471832584,-9.09565707947075,2021-10-10
2021-10-13,1,4.31462978236639,-4.10600078310422,-6.25256424171297,-5.57796747655158,2021-10-10
2021-10-14,1,4.5383096000454,-4.57089374508492,-7.00463639909892,-6.0469641483108,2021-10-10
2021-10-15,1,4.76341380747636,-5.91980998049465,-6.63882037809206,-7.67418009095101,2021-10-10
2021-10-16,1,3.62162394905403,-3.65532837278703,-2.33195520133507,-3.67475025093599,2021-10-10
2021-10-17,1,4.36394367601224,-4.64280247120288,-6.1547442262446,-5.61979213558304,2021-10-10
2021-10-18,1,4.34444887943098,-4.83170943913281,-6.71207767019525,-6.50196853783744,2021-10-10
2021-10-19,1,4.00470275517465,-4.72231973920152,-6.65341735921131,-6.16359107365122,2021-10-10
2021-10-20,1,4.03342522792763,-4.39064498755387,-6.03932570437923,-4.82655471446194,2021-10-10
2021-10-10,2,3.41479958531256,-2.42196927548159,-7.76843945544187,-10.3040993788068,2021-10-10
2021-10-11,2,3.81405512294422,-0.570556924577712,-5.26228336727236,-4.79091850002927,2021-10-10
2021-10-12,2,4.36303752432499,-1.65193178890001,-6.43336013860889,-6.37877526693079,2021-10-10
2021-10-13,2,4.64747042532287,-2.93546429359612,-6.53483774512139,-6.40674255578191,2021-10-10
2021-10-14,2,4.41288760348458,-3.63506974633686,-5.61364353631401,-7.82735852047144,2021-10-10
2021-10-15,2,4.15003444350675,-3.98557666574801,-5.29304651792808,-7.07416191340667,2021-10-10
2021-10-16,2,3.36659730736345,-2.31839709961814,-0.90788422836097,-1.59940788569429,2021-10-10
2021-10-17,2,4.44585341038324,-4.09717877302213,-7.15416699618879,-4.5733853386249,2021-10-10
2021-10-18,2,5.00403821264039,-4.22235152770347,-7.50166024320525,-5.66966968080155,2021-10-10
2021-10-19,2,5.18235714000059,-3.42610088826429,-6.55492645496677,-1.39037192336092,2021-10-10
2021-10-20,2,5.24927700882313,-2.82729757976811,-6.13699279808831,-3.9027875641267,2021-10-10
