"fc_date","ensemble_member","GreenAlgae_ugL","Bluegreens_ugL","BrownAlgae_ugL","MixedAlgae_ugL","issue_date"
2021-10-09,1,3.64253155684221,-1.46367910255551,-3.58594267772261,-5.7030081098822,2021-10-09
2021-10-10,1,4.15923004859921,-2.87221727562063,-7.27602711461395,-8.00306289185799,2021-10-09
2021-10-11,1,4.46573886397614,0.15497172036377,-5.49204512924564,-5.3233116994845,2021-10-09
2021-10-12,1,3.96663349221081,2.34000524429368,-3.16465167818606,-1.9153321611966,2021-10-09
2021-10-13,1,4.40228138668789,1.62488757335298,-6.03911412057301,-5.72411220848355,2021-10-09
2021-10-14,1,4.78718270567249,0.608152237164503,-7.03933246701856,-4.43250359121641,2021-10-09
2021-10-15,1,4.79015110644403,-1.27514535609421,-8.50321939678768,-8.91274547604605,2021-10-09
2021-10-16,1,3.79192095017227,-0.763635343324547,-5.22554898160846,-6.02802037922408,2021-10-09
2021-10-17,1,4.41299035340921,-1.79214807082496,-7.59068493199384,-5.59261242710229,2021-10-09
2021-10-18,1,4.58592334764303,-3.91406528285954,-7.22535877594274,-7.48895283706197,2021-10-09
2021-10-19,1,4.31763089043734,-4.24669210841135,-6.78563262112324,-8.6325156297212,2021-10-09
2021-10-09,2,2.10509939227489,-1.2435420619579,-2.50956771391975,-7.66067382617563,2021-10-09
2021-10-10,2,3.28434733434297,-2.03604223893227,-7.18895764959534,-7.77630724916306,2021-10-09
2021-10-11,2,3.45896296499542,-0.938339364637053,-4.72702115837223,-6.47394476103633,2021-10-09
2021-10-12,2,3.69333816094663,-1.74938569523821,-4.40881119515351,-6.85813991453956,2021-10-09
2021-10-13,2,3.60098781160241,-2.40378458293908,-4.94269554277505,-6.05660441255468,2021-10-09
2021-10-14,2,4.12469436416903,-2.27534254069645,-7.31682528187979,-5.4851945615596,2021-10-09
2021-10-15,2,5.34087968247339,-1.60866723469974,-7.23031689023242,-4.61729127553658,2021-10-09
2021-10-16,2,5.15979961877076,0.609213776303384,-5.9336526078407,-3.66246743778073,2021-10-09
2021-10-17,2,5.23198132712235,-1.62760537690672,-7.90889093306308,-7.60901075048189,2021-10-09
2021-10-18,2,4.9813048262437,-1.65816686086024,-8.3701401639866,-5.88250053198693,2021-10-09
2021-10-19,2,5.00876987307776,-2.33347277855992,-7.71342864444312,-5.76250030978881,2021-10-09
2021-10-09,3,3.13197471278351,1.18399642998575,-0.855170068846491,-0.315739496255144,2021-10-09
2021-10-10,3,3.99165975972769,-1.68735689214383,-5.43930233738931,-7.07459541454692,2021-10-09
2021-10-11,3,4.31444884053745,-2.71043514080093,-7.23327445443921,-7.12269985713755,2021-10-09
2021-10-12,3,3.4793921517787,-2.46263866453623,-5.16643817276728,-9.73436774489823,2021-10-09
2021-10-13,3,3.96742922252024,-1.40163978293512,-6.61268532318377,-6.64836569787396,2021-10-09
2021-10-14,3,4.59779746626313,0.58575546437342,-6.78843674828357,-4.83968940452999,2021-10-09
2021-10-15,3,4.97144812586614,-0.926661851731318,-7.8806084633147,-8.09678156627817,2021-10-09
2021-10-16,3,5.12771129473517,-0.331860226276947,-6.46881043150817,-2.42625302730566,2021-10-09
2021-10-17,3,5.26590135338353,-2.55777021018199,-8.05074726171671,-6.38745079426035,2021-10-09
2021-10-18,3,5.19490288377163,-3.20207305554615,-8.45897825589126,-6.92159638453585,2021-10-09
2021-10-19,3,4.85739101539652,-2.98052902657407,-8.1305312763703,-6.86938086781117,2021-10-09
2021-10-09,4,2.96425987392002,-1.38781912124664,-3.66271578485743,-8.3310583985021,2021-10-09
2021-10-10,4,3.09549897929534,-1.88586572924204,-6.5107375159287,-8.15851801691169,2021-10-09
2021-10-11,4,3.38661044124278,0.595131388282452,-5.05635502834723,-6.95997896630868,2021-10-09
2021-10-12,4,3.22575918349611,3.23880924539803,-3.14802521952692,-5.14816215099646,2021-10-09
2021-10-13,4,4.49243792514597,2.59559788909684,-6.33650190276813,-7.58724739702992,2021-10-09
2021-10-14,4,4.60253042467348,1.03682169836222,-7.68093172076054,-8.73857053502629,2021-10-09
2021-10-15,4,3.91987390585568,-0.386740751445897,-7.28437464796517,-5.46388292044762,2021-10-09
2021-10-16,4,3.86179046911537,-1.12085516128254,-5.06254084580982,-6.11452746953117,2021-10-09
2021-10-17,4,3.97766951144047,-3.03753687859836,-7.81590486770744,-6.99649718934397,2021-10-09
2021-10-18,4,4.17142441021065,-3.33968409715748,-6.81075379325233,-5.27359254303848,2021-10-09
2021-10-19,4,4.28151744719104,-4.02253605968848,-6.80998524837426,-7.40891168620925,2021-10-09
2021-10-09,5,3.21255623083936,-1.26979066487203,-2.65247978452374,-5.72913434206558,2021-10-09
2021-10-10,5,3.36890941597775,-1.59968919821481,-4.75109150117301,-5.90386919414216,2021-10-09
2021-10-11,5,3.91315895017909,-2.71923461813878,-7.32749537663496,-9.05573441945585,2021-10-09
2021-10-12,5,4.16126916549642,-0.24870605345207,-4.84275029675542,-1.9665777448715,2021-10-09
2021-10-13,5,5.58389680417828,-0.649288982033206,-8.03145751563327,-5.20701455256917,2021-10-09
2021-10-14,5,5.64216063667173,0.204846946037967,-8.50756635878939,-4.46327922922965,2021-10-09
2021-10-15,5,6.00744052793132,1.65994608356438,-7.11168866947204,-4.20012115184322,2021-10-09
2021-10-16,5,4.56956313744222,3.84148193215269,-3.12385216848174,-3.51860965971738,2021-10-09
2021-10-17,5,4.09761102379262,4.2272201913737,-3.89271026428123,-5.88605061476786,2021-10-09
2021-10-18,5,4.201351710877,0.756836035703039,-7.91702677528856,-9.83220433582622,2021-10-09
2021-10-19,5,4.37317095117703,0.232201916265687,-8.18996068507998,-5.93485652606542,2021-10-09
2021-10-09,6,3.0140651041426,-0.0123743443255074,-3.14556139525598,-3.69706463423672,2021-10-09
2021-10-10,6,4.17418824572246,-1.64890217497841,-7.50856641797129,-7.85458873240473,2021-10-09
2021-10-11,6,4.35803660716352,-1.22606879044882,-6.44292219426317,-5.50126095752882,2021-10-09
