"fc_date","ensemble_member","GreenAlgae_ugL","Bluegreens_ugL","BrownAlgae_ugL","MixedAlgae_ugL","issue_date"
2021-06-18,1,3.95782003032132,-5.41114720935328,-12.179048771335,-14.0840551555577,2021-06-18
2021-06-19,1,4.565378306047,-4.47034859729513,-9.64263581060544,-10.0432203958235,2021-06-18
2021-06-20,1,5.76486616163038,-6.13879476865165,-11.1237958681541,-12.4115348940651,2021-06-18
2021-06-21,1,5.70940166045099,-5.5527767637175,-9.75109389703002,-9.63984670766033,2021-06-18
2021-06-22,1,4.56397805061624,-2.19097118731408,-2.80700625181068,-3.29067915083938,2021-06-18
2021-06-23,1,6.21527000106284,-7.37669361412348,-12.6887765213171,-11.6171815275932,2021-06-18
2021-06-24,1,6.47286933565579,-7.8652106240536,-10.7136696205656,-7.39391925648801,2021-06-18
2021-06-25,1,7.0235745769473,-7.42451124581594,-10.9157848458956,-6.42170341652054,2021-06-18
2021-06-26,1,7.40952052781686,-6.77653532351945,-9.21823625777525,-4.45923523053407,2021-06-18
2021-06-27,1,6.70613797217719,-3.92029213546264,-4.52591549099807,1.28447052147918,2021-06-18
2021-06-28,1,5.6395299633372,-4.13000722398046,-2.84748887436549,-0.175176518663106,2021-06-18
2021-06-18,2,4.05447707486155,-5.71618032572732,-12.2619152641064,-14.6888815135349,2021-06-18
2021-06-19,2,4.37375842348848,-5.44556708311779,-11.0290019889539,-13.0326606847637,2021-06-18
2021-06-20,2,5.31382209022704,-4.51840762084791,-11.3716428538664,-12.3184297346883,2021-06-18
2021-06-21,2,5.9709526270866,-3.16617053960481,-8.99105846393664,-3.58129528053559,2021-06-18
2021-06-22,2,7.66110711274427,-2.14054721909225,-12.1886534600288,-4.85924064898743,2021-06-18
2021-06-23,2,8.09999389979617,-4.1221023970777,-14.1722239968969,-6.43782225422453,2021-06-18
2021-06-24,2,8.31388011682153,-4.99482606946038,-13.2451974366471,-6.00538859546564,2021-06-18
2021-06-25,2,7.10295651640212,-5.27390006794033,-9.86554625022617,-5.68779262049892,2021-06-18
2021-06-26,2,6.96149004311871,-5.65757999652508,-9.6560766021177,-5.53524265259136,2021-06-18
2021-06-27,2,4.4973804650702,-2.62832721581944,-1.21597630506285,-1.09018840941999,2021-06-18
2021-06-28,2,6.3311999613516,-6.48564058813146,-11.0412477896602,-6.06668078226014,2021-06-18
2021-06-18,3,5.18076062770066,-5.77636886108306,-11.5398383828402,-7.97632148584841,2021-06-18
2021-06-19,3,6.08617757000248,-5.76221702585877,-10.6110731359768,-6.54126907453627,2021-06-18
2021-06-20,3,4.91074031508297,-2.58215566364262,-2.97678204299172,-2.5874265499081,2021-06-18
2021-06-21,3,6.72867789452236,-6.21307526748473,-11.67164096263,-8.54851670467171,2021-06-18
2021-06-22,3,6.76363606695925,-6.23343073202574,-11.399136896091,-7.71258739190963,2021-06-18
2021-06-23,3,7.50130385693011,-7.80686406348887,-12.9490176557207,-7.62422507993335,2021-06-18
2021-06-24,3,6.94838013017969,-6.55308853661073,-7.42838077316371,-2.14224973693411,2021-06-18
2021-06-25,3,6.13023149607061,-6.46871253988338,-5.70312843817599,-4.1589211690224,2021-06-18
2021-06-26,3,7.37357055038956,-7.10498701954527,-10.8342162760895,-4.60499965141248,2021-06-18
2021-06-27,3,7.69894712667048,-7.74753418776797,-10.9419923093158,-4.69914624045247,2021-06-18
2021-06-28,3,8.31025863138589,-8.71669747016142,-12.154105161557,-5.36213333646248,2021-06-18
2021-06-18,4,4.98028771205908,-6.38785142581681,-12.1994336567594,-12.1297516933262,2021-06-18
2021-06-19,4,5.99291205142648,-4.67159903712678,-10.4003843900448,-6.25452228896424,2021-06-18
2021-06-20,4,4.93201761779173,-2.22928421305355,-3.27918254810784,-1.93090629412152,2021-06-18
2021-06-21,4,6.37751558605576,-5.92260212106597,-11.7188237376075,-7.93624335114874,2021-06-18
2021-06-22,4,6.72119849763396,-6.40714557095542,-11.3174827593392,-8.16226514194119,2021-06-18
2021-06-23,4,7.00834683867475,-8.37871848957479,-13.3102496104881,-11.6166786798586,2021-06-18
2021-06-24,4,5.97187940373515,-6.37646676642467,-6.86736438752673,-2.94698112746596,2021-06-18
2021-06-25,4,6.19477951260714,-5.69915965620083,-5.23125489664626,-1.04110999158822,2021-06-18
2021-06-26,4,7.57004714622315,-8.52048900216359,-10.9875640778526,-7.73262245435747,2021-06-18
2021-06-27,4,7.07655187337035,-8.35316021827154,-10.3599200206151,-5.15051637840011,2021-06-18
2021-06-28,4,7.27317157112422,-9.95885252704126,-11.8395858514619,-9.75235110528588,2021-06-18
2021-06-18,5,4.71952043137871,-5.22657630555715,-12.4736698577486,-14.0920433354806,2021-06-18
2021-06-19,5,4.27406162468962,-2.5370425448181,-6.39256801994681,-5.90369510745964,2021-06-18
2021-06-20,5,5.96095577954875,-6.13867238990428,-12.6067334560149,-12.4334458444946,2021-06-18
2021-06-21,5,6.28947980386097,-5.2578246710609,-9.3865747065851,-4.55762481729469,2021-06-18
2021-06-22,5,6.63115930687551,-4.9999166228938,-8.14572789158375,-3.36731807496363,2021-06-18
2021-06-23,5,7.17858550129261,-7.4463346185497,-11.0931749478369,-7.31368043837785,2021-06-18
2021-06-24,5,6.71573514057311,-7.2346951517317,-10.0016714676288,-6.13633683022129,2021-06-18
2021-06-25,5,7.86889697709553,-8.11179436532484,-11.7671587682181,-5.58015089601837,2021-06-18
2021-06-26,5,8.29765569251576,-9.47492476535134,-12.0732732478459,-5.3179973474856,2021-06-18
2021-06-27,5,7.45541864278323,-8.8947702022124,-9.63799926481517,-3.59742400273969,2021-06-18
2021-06-28,5,8.40979921192663,-10.2731302403985,-11.7326404490225,-4.98025122762338,2021-06-18
2021-06-18,6,4.22875880555993,-6.50300873409508,-11.6875181929134,-14.7879159327669,2021-06-18
2021-06-19,6,5.01667722383099,-5.440094968267,-10.7307194552949,-8.73561827085457,2021-06-18
2021-06-20,6,5.85328935429671,-6.0764326664558,-10.504145019204,-10.0240890566863,2021-06-18
2021-06-21,6,6.20410531548301,-5.99701533820971,-8.73602889201158,-7.03207060775502,2021-06-18
2021-06-22,6,6.3859802001699,-6.16024276023563,-9.43335820799569,-4.3969696166385,2021-06-18
2021-06-23,6,6.93010029028938,-9.86836709930655,-12.9653161209204,-11.288751592118,2021-06-18
2021-06-24,6,7.03782956679014,-8.71009316004966,-11.4243254278962,-6.39696805971036,2021-06-18
2021-06-25,6,6.79958749168502,-7.40737780834384,-8.35335633598966,-4.09553871763395,2021-06-18
2021-06-26,6,7.23157246910702,-7.48613810949068,-8.31038397025091,-0.725061736693436,2021-06-18
2021-06-27,6,8.22365617254732,-9.20037645952653,-10.9040302094794,-4.36702890437558,2021-06-18
2021-06-28,6,7.58377749356001,-7.36196267533598,-8.66276428405863,-1.97743845004816,2021-06-18
2021-06-18,7,4.92661503076434,-7.15873555143865,-11.3205199465109,-9.53201804418672,2021-06-18
2021-06-19,7,5.45366250350671,-6.34606072921109,-8.11308457986396,-6.02588855079676,2021-06-18
2021-06-20,7,6.19479831801879,-6.78877488556578,-9.79242220703576,-8.18313432675357,2021-06-18
2021-06-21,7,5.45624698620117,-4.23067807960033,-5.4349402095189,-3.47695123403777,2021-06-18
2021-06-22,7,5.52566759154739,-6.120361216261,-7.30288658917756,-6.47844650701788,2021-06-18
2021-06-23,7,6.2899167827346,-7.95915215502174,-11.8611277622841,-6.35213735928665,2021-06-18
2021-06-24,7,6.47202193226053,-7.71990794227148,-10.2701780187427,-5.88928145534404,2021-06-18
2021-06-25,7,4.7232175263532,-5.52696824543496,-3.01832128379861,-3.25603669500658,2021-06-18
2021-06-26,7,3.7911237903522,-4.48012089998941,-0.0846722300271762,-2.38174915851626,2021-06-18
2021-06-27,7,4.6607406925227,-6.87668463785501,-6.12879730326301,-6.62698013850512,2021-06-18
2021-06-28,7,6.02699956134605,-8.69445685566962,-11.0190965351205,-8.89610078468514,2021-06-18
2021-06-18,8,4.67125263968286,-5.64069118240118,-11.6149543478075,-11.4003464793089,2021-06-18
2021-06-19,8,5.56590946588629,-5.27437471985379,-11.5852837643321,-9.02296111588625,2021-06-18
2021-06-20,8,6.46675132067018,-5.98865149969524,-11.3103886073771,-8.69406166312759,2021-06-18
2021-06-21,8,6.86174977249845,-5.95162586011959,-11.0641384038492,-6.63547367211169,2021-06-18
2021-06-22,8,6.89039676820775,-5.48873283502156,-8.55612783217512,-4.62364831532805,2021-06-18
2021-06-23,8,7.76580095266332,-8.34182415569425,-13.4411299418072,-8.2603973866529,2021-06-18
2021-06-24,8,7.60943832265857,-8.11099540761123,-11.1853810922448,-6.52138221632982,2021-06-18
2021-06-25,8,7.37844274932979,-6.68203265230621,-9.1892646209666,-2.03139261967143,2021-06-18
2021-06-26,8,7.11468411157382,-6.71469946924047,-7.96838317901901,-4.67478336724391,2021-06-18
2021-06-27,8,7.18702534695142,-6.86534041229366,-7.803759033726,-2.09741697339134,2021-06-18
2021-06-28,8,7.75004330209519,-8.85760809154787,-10.5994527291195,-5.81660129117054,2021-06-18
2021-06-18,9,4.72026604700286,-5.29051754703605,-13.0736057090437,-15.9789914160626,2021-06-18
2021-06-19,9,4.92079129587811,-3.26223044978656,-8.51007714625153,-9.37273075893659,2021-06-18
2021-06-20,9,5.82933421710457,-4.60908821590185,-11.1814704464491,-10.1446119114906,2021-06-18
2021-06-21,9,6.49215940285744,-4.76038014625468,-10.3878504871909,-7.81714076242274,2021-06-18
2021-06-22,9,6.55112052158514,-4.44945511385403,-9.66445285731938,-6.09937402402771,2021-06-18
2021-06-23,9,7.15546604716698,-6.22276897627403,-12.4794779886866,-6.69037331271547,2021-06-18
2021-06-24,9,7.8942241264984,-6.21477382539392,-10.8602117319502,-4.81473817701741,2021-06-18
2021-06-25,9,7.01476109770776,-4.9787143036183,-7.45909215189529,-1.5492970200552,2021-06-18
2021-06-26,9,5.91845578913946,-4.39941816970485,-3.86281179099959,-1.43431584721056,2021-06-18
2021-06-27,9,7.44266975300772,-8.75015125013405,-11.1838818995315,-7.08074135827081,2021-06-18
2021-06-28,9,7.42225426691242,-8.02967960329762,-8.70754986498691,-5.40923237981028,2021-06-18
2021-06-18,10,4.43870981644758,-5.78589336354161,-12.2643996770779,-13.5003885820625,2021-06-18
2021-06-19,10,4.45515415414783,-4.75581738787853,-8.50655385850316,-9.95509658220118,2021-06-18
2021-06-20,10,5.56355704236041,-5.1904104107149,-9.84642669958537,-8.29601261979993,2021-06-18
2021-06-21,10,4.91224792522675,-3.46273095003826,-6.09306400756012,-5.5288312418488,2021-06-18
2021-06-22,10,5.083001462812,-4.24887038208791,-7.24896069099724,-5.60861915428939,2021-06-18
2021-06-23,10,6.38381166539332,-7.59581934658667,-12.4017380462272,-9.08409466538362,2021-06-18
2021-06-24,10,6.09036978729626,-7.89432256551596,-10.7706100179692,-10.2172845475616,2021-06-18
2021-06-25,10,4.50595672338427,-3.59217203451179,-2.81329346998531,-0.485140778328721,2021-06-18
2021-06-26,10,3.85396848587737,-1.89242196707981,-0.773078760791351,-1.21935419477176,2021-06-18
2021-06-27,10,4.74397367043356,-5.03866935779595,-6.26541301131912,-5.30135129415388,2021-06-18
2021-06-28,10,6.45118902915113,-7.52196578482077,-10.787813851153,-5.96083640758945,2021-06-18
2021-06-18,11,4.66068102542098,-5.28830434630082,-12.6143082037582,-12.2774400917937,2021-06-18
2021-06-19,11,4.92600286512953,-3.93278498409007,-9.71244800998831,-8.36884068562184,2021-06-18
