"fc_date","ensemble_member","GreenAlgae_ugL","Bluegreens_ugL","BrownAlgae_ugL","MixedAlgae_ugL","issue_date"
2021-11-02,1,3.55800192439143,0.769427064186955,-3.07338616573362,-4.13054073019241,2021-11-02
2021-11-03,1,3.50985368708375,-1.1772857504567,-5.44778393375988,-5.24834636804087,2021-11-02
2021-11-04,1,3.0109454312455,-0.600933122372006,-1.91284606943391,-6.11587487454621,2021-11-02
2021-11-05,1,3.08103021113128,-2.70861531515554,-5.26232350485403,-7.53616565162834,2021-11-02
2021-11-06,1,3.98051044241845,-3.30441654976587,-6.02905386999941,-5.57565491988747,2021-11-02
2021-11-07,1,4.43653870941722,-3.5713207199178,-6.73067656273611,-7.76706808531096,2021-11-02
2021-11-08,1,4.54027244783158,-3.60395156570466,-5.95883436551564,-5.19327620051948,2021-11-02
2021-11-09,1,4.23456241635464,-3.9632681542873,-4.61873276402288,-3.12172373403432,2021-11-02
2021-11-10,1,4.24203517428794,-3.42494797444821,-3.88776745075021,-2.88289287990761,2021-11-02
2021-11-11,1,4.44054325292069,-3.40643548667094,-3.85081050765496,-3.56290077539881,2021-11-02
2021-11-12,1,4.01367237171748,-2.03354917797096,-1.7442676130197,-3.09762912327657,2021-11-02
2021-11-02,2,3.22705755501293,-1.23579984444444,-3.1702597993597,-5.93281800791234,2021-11-02
2021-11-03,2,3.68323481413506,-1.1039614526943,-5.61937533737361,-5.02747886946366,2021-11-02
2021-11-04,2,3.9210132974787,1.37346254037342,-3.11757451289913,-1.78987515550727,2021-11-02
2021-11-05,2,4.41434846755811,0.800836543554703,-7.36667747891551,-7.03439825933654,2021-11-02
2021-11-06,2,4.98783108046286,2.25616948936049,-7.21452461331903,-3.27679980069561,2021-11-02
2021-11-07,2,5.19638783558551,2.5044195710859,-5.7627607487019,-2.07080392527478,2021-11-02
2021-11-08,2,5.00558764603756,2.13514869569982,-6.76895255373945,-6.04842258247614,2021-11-02
2021-11-09,2,4.97563741879373,2.42328256401279,-7.80500360145395,-5.02383127182127,2021-11-02
2021-11-10,2,4.44244284131914,3.13556480341742,-5.40903753774855,-4.32846020107253,2021-11-02
2021-11-11,2,4.94901661222577,3.47680865312148,-7.49588791809429,-5.79160929338465,2021-11-02
2021-11-12,2,4.41830446622367,3.91897258693161,-5.57551454743985,-7.41279257710819,2021-11-02
2021-11-02,3,3.36876945552325,1.01439356787098,-2.65181303932003,-2.68840779518241,2021-11-02
2021-11-03,3,4.15226797114,1.02843786228425,-7.30397101888534,-6.80657412581458,2021-11-02
2021-11-04,3,4.08239134368307,3.49106947291303,-4.1493754927312,-1.81145535697507,2021-11-02
2021-11-05,3,4.45063002056033,2.10563054882554,-7.04673922443711,-8.01841507259118,2021-11-02
2021-11-06,3,3.39018399478381,5.39002706430594,-2.31521567451511,-1.74338801859799,2021-11-02
2021-11-07,3,3.9453017339509,5.06652403918459,-4.66708465799918,-5.18486200871264,2021-11-02
2021-11-08,3,4.35456498090927,2.76853774543981,-7.28900912035809,-5.01225856089183,2021-11-02
2021-11-09,3,4.67675373264983,0.60961299260362,-7.10886308421238,-8.36648266008684,2021-11-02
2021-11-10,3,4.09443917667516,0.680004348520468,-5.9757832828901,-3.72021708420936,2021-11-02
2021-11-11,3,3.48662368208451,1.70355648340581,-1.88711578838493,-1.60256467250726,2021-11-02
2021-11-12,3,3.29462301582219,0.70165187793161,-1.7045329049886,-5.34685263242455,2021-11-02
2021-11-02,4,2.81132830984352,0.119650706088053,-1.27535601625879,-2.45672558523682,2021-11-02
2021-11-03,4,3.48133711066425,-0.133997383767989,-4.65443422083497,-3.7728556264353,2021-11-02
2021-11-04,4,3.13935746117243,-0.642391661253744,-3.98288680209884,-5.83413399069801,2021-11-02
2021-11-05,4,3.42637835335875,-1.44812278147353,-7.07659203026803,-8.060605952009,2021-11-02
2021-11-06,4,3.27117941919748,-1.93494545538387,-6.6778439502968,-10.3314928039837,2021-11-02
2021-11-07,4,2.99377912257771,-1.35819894844086,-5.15391916579629,-7.70036096381332,2021-11-02
2021-11-08,4,3.1220404662435,-1.55241239120105,-3.90730045589524,-6.74081747772714,2021-11-02
2021-11-09,4,3.51612755354713,-2.9045670988305,-6.20734975713444,-8.81426647789552,2021-11-02
2021-11-10,4,3.75609481427119,-2.40246221570833,-5.52377853670583,-4.98247050349847,2021-11-02
2021-11-11,4,4.07391772016302,-2.35911932114216,-5.22099373256724,-5.49082743972421,2021-11-02
2021-11-12,4,4.50150104352138,-2.86794212055934,-5.5729253460011,-6.26308544277799,2021-11-02
2021-11-02,5,3.7026316731233,0.0868906252439323,-2.50007034111983,-4.0098399063026,2021-11-02
2021-11-03,5,4.15140413231295,-1.49070431019004,-6.65126538533731,-5.02823756924861,2021-11-02
