"fc_date","ensemble_member","GreenAlgae_ugL","Bluegreens_ugL","BrownAlgae_ugL","MixedAlgae_ugL","issue_date"
2021-05-09,1,5.85656544512415,-6.41510584096255,-10.0856428342195,-9.13215586568541,2021-05-09
2021-05-10,1,6.17996992495849,-6.02664640142286,-8.98194915340469,-6.83397090227616,2021-05-09
2021-05-11,1,6.65422643789743,-7.81392990045,-12.0514563806588,-6.83310526761665,2021-05-09
2021-05-12,1,7.82427315171645,-7.84315034928585,-12.3697326226189,-3.34393112083128,2021-05-09
2021-05-13,1,8.05397000433587,-8.76709497734802,-12.2812775064055,-5.02546602781058,2021-05-09
2021-05-14,1,7.02934041204468,-7.75060121160991,-7.49913609708126,-3.64096977425983,2021-05-09
2021-05-15,1,7.86208231548922,-9.15105340414594,-11.6087181456543,-4.00641259735292,2021-05-09
2021-05-16,1,8.44968118694428,-9.67406130519385,-11.9958476048909,-4.38046865939461,2021-05-09
2021-05-17,1,8.35530557038459,-9.02588406070094,-11.0696340765653,-3.56317192728643,2021-05-09
2021-05-18,1,7.49524459598304,-7.56754611978328,-7.48833955525578,-1.09539069655931,2021-05-09
2021-05-19,1,8.036588799211,-9.88136931316918,-10.8858457012978,-4.28439026741158,2021-05-09
2021-05-09,2,4.84082502944372,-6.46423067129098,-7.98364744961756,-8.64765555941102,2021-05-09
2021-05-10,2,4.85508846590294,-4.97806319266615,-6.10244929621442,-5.71092758926075,2021-05-09
2021-05-11,2,5.97552720930177,-5.36026617502066,-8.50818381416013,-6.30682644925858,2021-05-09
2021-05-12,2,6.89772972092874,-7.35323958465815,-11.2517588833637,-8.31602650264928,2021-05-09
2021-05-13,2,5.51189074397054,-4.80739528073498,-6.53661943845501,-3.58670977394782,2021-05-09
2021-05-14,2,4.15794748896017,-2.13447172711067,-0.736403183064878,0.584334253370103,2021-05-09
2021-05-15,2,5.27174622018069,-4.98224454867616,-7.16659320399125,-7.44465265971011,2021-05-09
2021-05-16,2,5.73752578431869,-5.56194035660202,-9.38471723638086,-5.92770868555602,2021-05-09
2021-05-17,2,7.09356284113669,-7.79314415935686,-12.5344822462792,-8.94665499826714,2021-05-09
2021-05-18,2,6.8658296894982,-7.8800560097027,-10.5481096726729,-6.90161330294701,2021-05-09
2021-05-19,2,7.11854214125807,-8.05736081710566,-11.3662601819991,-7.21070413595277,2021-05-09
2021-05-09,3,5.48438201616148,-5.72221314951849,-9.17836147612384,-7.80770458378214,2021-05-09
2021-05-10,3,4.89068223808496,-5.10665280669035,-6.00528052903142,-4.85582258524704,2021-05-09
2021-05-11,3,5.65512431973809,-5.70154474891733,-7.80879427097268,-4.74935784528593,2021-05-09
2021-05-12,3,6.1753987407681,-6.97233278169612,-10.5129476516675,-6.34269535717261,2021-05-09
2021-05-13,3,5.47814623852121,-5.70246917618727,-6.67165513791761,-6.09843449704331,2021-05-09
2021-05-14,3,4.02874885749384,-1.92641317145167,-0.501825580038612,1.38165023939047,2021-05-09
2021-05-15,3,4.93470578279924,-5.37683394145732,-6.72760248933787,-6.52737593714439,2021-05-09
2021-05-16,3,5.54464665865118,-5.96749773742719,-8.70877931486071,-4.5687076773939,2021-05-09
2021-05-17,3,7.0342532031705,-8.47073382621559,-12.5278196572677,-9.16198269786513,2021-05-09
2021-05-18,3,7.62021002129669,-7.25617573650915,-10.7817799547089,-4.24535668253623,2021-05-09
2021-05-19,3,8.05263552545714,-7.42657163252064,-11.5598156641049,-3.33421089475892,2021-05-09
2021-05-09,4,5.20975516792386,-6.37827163681842,-9.67756260399517,-9.54645566841965,2021-05-09
2021-05-10,4,5.6804083426438,-6.24937651626068,-8.4581538531796,-6.53956860818698,2021-05-09
2021-05-11,4,6.50043865151276,-8.45202848573488,-12.1806081480214,-7.92673808006225,2021-05-09
2021-05-12,4,7.01204093373985,-9.0166056262656,-12.85140185818,-7.7835108552152,2021-05-09
2021-05-13,4,7.5556660427761,-8.34191825616535,-11.6777756637772,-3.2560508844395,2021-05-09
2021-05-14,4,6.82548112270023,-7.18908940485064,-7.48858721230903,-3.03922869991704,2021-05-09
2021-05-15,4,7.52728371844461,-9.08857541050744,-11.1161069341721,-5.70907515413587,2021-05-09
2021-05-16,4,8.07700564835974,-9.9314792168603,-12.2683424772877,-5.55518110444066,2021-05-09
2021-05-17,4,8.19476464227634,-9.10230568194864,-10.635898115118,-1.57054511903955,2021-05-09
2021-05-18,4,7.2404738251114,-7.35418728420593,-7.07190125978449,0.424612695359851,2021-05-09
2021-05-19,4,7.77652971769992,-9.596127384527,-11.5306460218373,-6.67803934489113,2021-05-09
2021-05-09,5,5.38177725962472,-6.0831478893626,-8.39800337128218,-7.62705816858875,2021-05-09
2021-05-10,5,6.3960450525339,-6.82800162881983,-9.96342167172512,-6.61014954971137,2021-05-09
2021-05-11,5,7.2541153251437,-8.11121772395231,-12.54342598045,-7.86349853916677,2021-05-09
2021-05-12,5,7.92522491896002,-8.20772284276772,-12.3843730052633,-4.37343840435914,2021-05-09
2021-05-13,5,7.07726579892716,-7.04212456328104,-8.67039192393318,-6.82148359306223,2021-05-09
2021-05-14,5,7.62855240975237,-7.32290183243751,-10.4585293669397,-3.33466526345735,2021-05-09
2021-05-15,5,7.60623650123567,-7.33028056841789,-10.9563659947477,-4.67777457616113,2021-05-09
2021-05-16,5,8.40164922605592,-7.95081392112233,-12.575413795285,-4.46053643469394,2021-05-09
2021-05-17,5,9.03799253971391,-6.41642539196019,-14.300125359505,-7.47072639304119,2021-05-09
2021-05-18,5,8.92573359878351,-5.6609129678588,-13.8082148827252,-5.2463779070587,2021-05-09
2021-05-19,5,8.60388916630537,-2.32882272834074,-9.93894831346545,-0.496543490602796,2021-05-09
2021-05-09,6,5.34905084657807,-5.30494632809199,-9.07883385175065,-7.82513759000094,2021-05-09
2021-05-10,6,5.97648862296034,-7.0486574355898,-10.9155665673146,-8.7811988310368,2021-05-09
2021-05-11,6,6.23904508660613,-8.23594833929993,-11.4685845451112,-7.71507460159548,2021-05-09
2021-05-12,6,6.40828889850189,-7.47722210799936,-10.1400594219318,-5.99067185244483,2021-05-09
2021-05-13,6,7.19192681480998,-8.23076977657852,-12.5958123147747,-6.85667247159691,2021-05-09
2021-05-14,6,7.49990815711125,-7.83545840846529,-10.9512803090662,-4.22118157598515,2021-05-09
2021-05-15,6,7.82820161166675,-9.1924603878857,-10.1801698688163,-5.82741984144717,2021-05-09
2021-05-16,6,6.56562820461855,-5.91009032656681,-3.63147900094854,0.843495828629037,2021-05-09
2021-05-17,6,5.81583044530119,-5.00202534150696,-2.25882893340061,0.983882314625243,2021-05-09
2021-05-18,6,5.50407914187246,-6.12873714074791,-4.47463051012029,-1.06806772067622,2021-05-09
2021-05-19,6,5.29080552041568,-5.36863632481643,-4.07138322848672,-3.26584901888182,2021-05-09
2021-05-09,7,5.26442538587182,-5.19551634998989,-10.5065999029914,-8.33883961655943,2021-05-09
2021-05-10,7,4.92647898449941,-4.26974363220297,-6.61641243763668,-7.06088086239187,2021-05-09
2021-05-11,7,6.39906333834724,-6.80663784691265,-12.3505416673017,-7.74010059574109,2021-05-09
2021-05-12,7,7.16911719935426,-7.20289016829293,-12.2955717558853,-6.86869536155086,2021-05-09
2021-05-13,7,6.05035130487391,-4.20218504258973,-6.11200363884235,-3.16642292470981,2021-05-09
2021-05-14,7,5.1645875700578,-1.94373671062447,-3.41582745769572,0.111431225274263,2021-05-09
2021-05-15,7,7.20650895990714,-6.51510392814897,-12.8639688151566,-7.08807638986431,2021-05-09
2021-05-16,7,7.09622546414394,-6.85105609717521,-12.0719742182464,-6.24495254341757,2021-05-09
2021-05-17,7,7.43140076144737,-8.20576787695723,-11.018379380281,-6.40240539986128,2021-05-09
2021-05-18,7,8.12302527987432,-6.3450630851005,-11.4528766099589,-4.31200681216511,2021-05-09
2021-05-19,7,8.32063140205919,-3.14348172654345,-9.91103266289069,-0.766530702727192,2021-05-09
2021-05-09,8,5.01285071076351,-5.92394356581787,-9.09579810304172,-9.25730465911716,2021-05-09
2021-05-10,8,5.30885755725462,-6.28536356230997,-8.76384332223857,-6.20020266957647,2021-05-09
2021-05-11,8,5.95042451177582,-6.09667321527665,-9.83446624254838,-7.31512533101809,2021-05-09
2021-05-12,8,6.64399445675867,-8.27739360897566,-11.9751861483447,-8.57345168027818,2021-05-09
2021-05-13,8,6.63583216978194,-7.5507697444824,-9.67063639926119,-3.11155253425819,2021-05-09
2021-05-14,8,6.39318509259862,-6.57987366585935,-6.92925228148694,-4.62067549521062,2021-05-09
2021-05-15,8,6.80080707841716,-7.75301873382377,-9.92243552097526,-3.81489254180506,2021-05-09
2021-05-16,8,7.1514459665243,-7.36378879387528,-9.19832558699707,-3.67963801129339,2021-05-09
2021-05-17,8,7.84477863011879,-8.13120039817617,-12.0516953913773,-3.10743716907375,2021-05-09
2021-05-18,8,7.6329553121856,-6.26797438787212,-7.02353236286489,-1.1519556918412,2021-05-09
2021-05-19,8,6.25761654441047,-5.19630380591041,-2.87352278244276,-1.79136523546306,2021-05-09
2021-05-09,9,4.94383212690877,-5.35030197631993,-9.34807626364145,-8.83964678606544,2021-05-09
2021-05-10,9,6.02768512574772,-5.5464439481317,-9.72350176657788,-6.11968056113145,2021-05-09
2021-05-11,9,6.50842443424698,-7.06322188897271,-12.590233473714,-10.407301971187,2021-05-09
2021-05-12,9,6.73146372205192,-7.90927470864546,-12.3126487638883,-6.60697487453977,2021-05-09
2021-05-13,9,6.21308307381479,-6.6062871146571,-8.5449991688981,-3.57919529391575,2021-05-09
2021-05-14,9,4.89627859769192,-3.25612720053098,-1.40338287921783,2.27497458751422,2021-05-09
2021-05-15,9,7.00798576123293,-8.51846240563787,-11.8475194873169,-5.33857035400924,2021-05-09
2021-05-16,9,7.74367221825726,-8.91930357914446,-11.8936911284222,-5.7060655796933,2021-05-09
2021-05-17,9,7.6969867105919,-8.66851429941535,-9.78890959244021,-3.64397006435558,2021-05-09
2021-05-18,9,6.21645793907935,-6.03135064660671,-3.31821177972499,2.33647553799421,2021-05-09
2021-05-19,9,4.68463184323716,-5.26142829009025,-1.29975383603084,-0.107908863807349,2021-05-09
2021-05-09,10,5.48022689510075,-6.5633412233639,-9.67798837930497,-8.05111525267226,2021-05-09
2021-05-10,10,5.80548763367637,-6.366470080476,-9.26094989066197,-9.43804704788068,2021-05-09
2021-05-11,10,5.89898050313206,-7.34995748006409,-11.7069636268757,-6.18496655038224,2021-05-09
2021-05-12,10,6.66995428407143,-6.54536642428397,-9.0658493569967,-3.17425637430071,2021-05-09
2021-05-13,10,7.12113760387988,-7.7633667815481,-10.7150832141591,-5.39081177855618,2021-05-09
2021-05-14,10,5.4916522289906,-5.34425159598223,-3.99170612619636,-2.6380890265186,2021-05-09
2021-05-15,10,4.76078012440622,-5.50794063528624,-3.8604106254793,-4.79708556327623,2021-05-09
2021-05-16,10,6.1697639685984,-8.5679388200638,-10.7739724787485,-5.87686745307195,2021-05-09
2021-05-17,10,7.27544614140693,-8.94641742278083,-12.0520828140802,-7.27713150300119,2021-05-09
2021-05-18,10,7.13983315665608,-7.50583402020696,-9.99687400880693,-5.60687689605658,2021-05-09
2021-05-19,10,8.04469030685686,-8.56158280497749,-11.898311591078,-5.34242794230705,2021-05-09
2021-05-09,11,5.24360094163755,-5.75322039670709,-8.04781095193837,-5.12017859959819,2021-05-09
2021-05-10,11,6.27471997409427,-7.49728869455349,-11.1709001768818,-8.40291251118031,2021-05-09
2021-05-11,11,6.5926643388087,-7.40676551498625,-11.5533915180977,-8.60990402531116,2021-05-09
2021-05-12,11,7.29950471495793,-7.71741686360694,-12.5186152465421,-6.45609797353359,2021-05-09
2021-05-13,11,7.54357473109527,-7.48933556534871,-12.8631225477484,-6.72521416374408,2021-05-09
2021-05-14,11,8.23459668451766,-4.95371930461461,-12.7566864733392,-2.92919922901037,2021-05-09
2021-05-15,11,7.90749705370453,-3.47908060262635,-9.20754660832925,-0.940480371786791,2021-05-09
2021-05-16,11,8.49864443500556,-4.17325264831581,-12.5134695827068,-5.64402623873878,2021-05-09
2021-05-17,11,7.51981256527456,-3.22767943319486,-7.28303719712372,-0.0915908849336873,2021-05-09
2021-05-18,11,8.45435096958417,-6.01290207725251,-12.9490531197093,-4.54535707467661,2021-05-09
2021-05-19,11,8.85209451264427,-5.86799825950875,-14.008679039974,-7.1144003240803,2021-05-09
2021-05-09,12,4.90994072098114,-5.79165330032649,-9.43857230169971,-9.00888634409196,2021-05-09
2021-05-10,12,5.29861846954107,-6.48091526624083,-8.78419957887061,-7.10986546252974,2021-05-09
